"(PDH-CSV 4.0) (India Standard Time)(-330)","\\ASCENDI-VEM0NO7\Processor(_Total)\% Processor Time"
"08/26/2025 12:30:43.719"," "
"08/26/2025 12:30:48.735","9.03445471802943878"
"08/26/2025 12:30:53.741","6.526145174630304524"
"08/26/2025 12:30:58.996","12.1328660775424364"
"08/26/2025 12:31:04.508","15.529070390367172294"
"08/26/2025 12:31:09.756","12.907431007392800026"
"08/26/2025 12:31:14.730","8.1271221409813687586"
"08/26/2025 12:31:19.446","4.5833453664336669675"
"08/26/2025 12:31:23.911","0"
"08/26/2025 12:31:28.602","1.7328468428377319377"
"08/26/2025 12:31:33.524","4.77540912039293719"
"08/26/2025 12:31:38.687","12.23346647504363105"
