"(PDH-CSV 4.0) (India Standard Time)(-330)"
"08/25/2025 14:57:29.244"
"08/25/2025 14:57:33.857"
"08/25/2025 14:57:38.603"
"08/25/2025 14:57:43.585"
"08/25/2025 14:57:48.986"
"08/25/2025 14:57:54.390"
"08/25/2025 14:58:00.250"
"08/25/2025 14:58:06.284"
"08/25/2025 14:58:12.729"
"08/25/2025 14:58:19.350"
"08/25/2025 14:58:26.454"
"08/25/2025 14:58:33.724"
"08/25/2025 14:58:41.169"
"08/25/2025 14:58:48.658"
"08/25/2025 14:58:56.145"
"08/25/2025 14:59:03.647"
"08/25/2025 14:59:11.149"
"08/25/2025 14:59:18.643"
"08/25/2025 14:59:26.141"
"08/25/2025 14:59:33.658"
"08/25/2025 14:59:41.148"
"08/25/2025 14:59:48.649"
"08/25/2025 14:59:55.639"
"08/25/2025 15:00:02.393"
"08/25/2025 15:00:08.682"
"08/25/2025 15:00:14.738"
"08/25/2025 15:00:20.421"
"08/25/2025 15:00:25.874"
"08/25/2025 15:00:30.973"
"08/25/2025 15:00:35.933"
"08/25/2025 15:00:40.474"
"08/25/2025 15:00:44.909"
"08/25/2025 15:00:49.034"
"08/25/2025 15:00:53.022"
"08/25/2025 15:00:56.730"
"08/25/2025 15:01:00.326"
"08/25/2025 15:01:04.167"
"08/25/2025 15:01:08.112"
"08/25/2025 15:01:12.324"
"08/25/2025 15:01:16.659"
"08/25/2025 15:01:21.282"
"08/25/2025 15:01:26.061"
"08/25/2025 15:01:31.142"
"08/25/2025 15:01:36.573"
"08/25/2025 15:01:42.017"
"08/25/2025 15:01:47.782"
"08/25/2025 15:01:53.941"
"08/25/2025 15:02:00.352"
"08/25/2025 15:02:06.257"
"08/25/2025 15:02:11.946"
"08/25/2025 15:02:17.296"
"08/25/2025 15:02:22.429"
"08/25/2025 15:02:27.253"
"08/25/2025 15:02:31.893"
"08/25/2025 15:02:36.208"
"08/25/2025 15:02:40.383"
"08/25/2025 15:02:44.823"
"08/25/2025 15:02:49.414"
"08/25/2025 15:02:54.301"
"08/25/2025 15:02:59.343"
"08/25/2025 15:03:04.720"
"08/25/2025 15:03:10.267"
"08/25/2025 15:03:16.167"
