"(PDH-CSV 4.0) (India Standard Time)(-330)","\\ASCENDI-8POD398\Network Interface(Intel[R] PRO_1000 MT Desktop Adapter)\Packets Received/sec"
"08/26/2025 11:01:17.439"," "
"08/26/2025 11:01:24.048","0.60038870365452001732"
"08/26/2025 11:01:30.281","1.0015880579293692243"
"08/26/2025 11:01:36.238","0.3997439799705880259"
"08/26/2025 11:01:41.857","1.1998826514766856022"
"08/26/2025 11:01:47.230","6.3810344171261057511"
"08/26/2025 11:01:52.289","8.5936984128278410822"
"08/26/2025 11:01:57.085","0.60326699239732772817"
"08/26/2025 11:02:01.654","0.19940295564632198877"
"08/26/2025 11:02:05.998","0.79922770626743377953"
