"(PDH-CSV 4.0) (India Standard Time)(-330)","\\ASCENDI-8POD398\Network Interface(Intel[R] PRO_1000 MT Desktop Adapter)\Packets/sec"
"08/26/2025 11:01:14.197"," "
"08/26/2025 11:01:20.807","1.0002993896073095748"
"08/26/2025 11:01:27.374","2.799927817860855761"
"08/26/2025 11:01:33.337","0.79844152199322138141"
"08/26/2025 11:01:39.244","0.40005028632099060015"
"08/26/2025 11:01:44.611","3.9927694937238151773"
"08/26/2025 11:01:49.899","9.8673799963478607822"
"08/26/2025 11:01:54.733","14.160668460138595037"
"08/26/2025 11:01:59.517","0.40065212543849121341"
"08/26/2025 11:02:04.004","0"
