"(PDH-CSV 4.0) (India Standard Time)(-330)","\\ASCENDI-8POD398\Memory\Available MBytes","\\ASCENDI-8POD398\Memory\Pages/sec","\\ASCENDI-8POD398\Memory\Pool Nonpaged Bytes","\\ASCENDI-8POD398\Process(_Total)\Working Set"
"08/25/2025 16:09:22.920","4260"," ","216670208","5853396992"
"08/25/2025 16:09:27.606","4266","0","216567808","5834440704"
"08/25/2025 16:09:32.679","4268","0","216453120","5834772480"
"08/25/2025 16:09:37.823","4269","0","216477696","5834354688"
"08/25/2025 16:09:43.415","4271","0","216489984","5834027008"
"08/25/2025 16:09:49.084","4263","0","216485888","5834149888"
"08/25/2025 16:09:55.218","4259","0","216469504","5842083840"
"08/25/2025 16:10:01.464","4228","1902.3934628722695379","216940544","5935595520"
"08/25/2025 16:10:08.279","4166","747.22330107415564271","217436160","6038306816"
"08/25/2025 16:10:15.033","4169","0","216928256","6002049024"
"08/25/2025 16:10:21.357","4172","0","216834048","6001700864"
"08/25/2025 16:10:27.520","4189","0","216924160","6001844224"
"08/25/2025 16:10:33.234","4188","0","217075712","6001520640"
"08/25/2025 16:10:38.803","4187","3.1898656055791390074","216805376","6001131520"
"08/25/2025 16:10:44.050","4181","1.1730882757139093897","216866816","6000840704"
"08/25/2025 16:10:48.906","4173","1.6474076136384345759","216825856","6000648192"
"08/25/2025 16:10:53.530","4174","0","216690688","6000447488"
"08/25/2025 16:10:58.026","4173","0","216817664","6002094080"
"08/25/2025 16:11:02.201","4173","0","216838144","6003208192"
"08/25/2025 16:11:06.231","4174","0","216829952","6004322304"
"08/25/2025 16:11:09.985","4173","0","216752128","6004146176"
"08/25/2025 16:11:13.632","4172","22.383272532770810415","216739840","6004244480"
"08/25/2025 16:11:17.580","4173","1.5864956223429669269","216731648","6015275008"
"08/25/2025 16:11:21.555","4149","0","216788992","6026469376"
"08/25/2025 16:11:25.851","4155","0.20001602528394574199","216813568","6006935552"
"08/25/2025 16:11:30.255","4149","0","216727552","6003978240"
"08/25/2025 16:11:34.983","4160","0","216780800","5991813120"
"08/25/2025 16:11:39.837","4163","0","216776704","5991243776"
"08/25/2025 16:11:45.024","4164","0","216764416","5991088128"
"08/25/2025 16:11:50.359","4168","0","216690688","5988225024"
"08/25/2025 16:11:56.079","4163","0","216653824","5988098048"
"08/25/2025 16:12:01.948","4165","0","216518656","5988888576"
"08/25/2025 16:12:08.241","4166","0","216535040","5988937728"
"08/25/2025 16:12:14.699","4167","0","216682496","5988585472"
"08/25/2025 16:12:20.691","4168","0","216641536","5988667392"
"08/25/2025 16:12:26.505","4169","0","216641536","5988405248"
"08/25/2025 16:12:31.875","4170","0","216612864","5988106240"
"08/25/2025 16:12:37.117","4171","0","216641536","5988155392"
"08/25/2025 16:12:41.969","4172","0","216621056","5988270080"
"08/25/2025 16:12:46.675","4173","0","216641536","5988245504"
"08/25/2025 16:12:51.056","4176","0","216600576","5987610624"
"08/25/2025 16:12:55.291","4176","0","216584192","5987631104"
"08/25/2025 16:12:59.225","4166","0","216633344","5987586048"
"08/25/2025 16:13:03.030","4169","0","216596480","5986500608"
"08/25/2025 16:13:07.118","4170","0","216580096","5986570240"
"08/25/2025 16:13:11.312","4172","0","216625152","5961273344"
"08/25/2025 16:13:15.799","4173","0","216489984","5963513856"
"08/25/2025 16:13:20.412","4174","0","216625152","5963522048"
"08/25/2025 16:13:25.352","4175","0","216621056","5962498048"
"08/25/2025 16:13:30.425","4175","0","216637440","5963108352"
"08/25/2025 16:13:35.836","4175","0","216637440","5963083776"
"08/25/2025 16:13:41.420","4175","0","216666112","5962919936"
"08/25/2025 16:13:47.378","4173","0","216653824","5962874880"
"08/25/2025 16:13:53.539","4172","0","216670208","5962858496"
"08/25/2025 16:14:00.090","4168","0","216649728","5959843840"
"08/25/2025 16:14:06.844","4171","0","216596480","5959467008"
"08/25/2025 16:14:13.132","4177","0","216567808","5957189632"
"08/25/2025 16:14:19.204","4178","0","216489984","5955801088"
"08/25/2025 16:14:24.875","4176","0","216526848","5956378624"
"08/25/2025 16:14:30.345","4170","16.794593148681713046","216530944","5957586944"
"08/25/2025 16:14:35.454","4153","28.148361268286102188","216797184","6011568128"
"08/25/2025 16:14:40.367","4158","17.027933985143949513","217939968","5994733568"
"08/25/2025 16:14:44.952","4155","0.2002884714797027732","217120768","5994237952"
"08/25/2025 16:14:49.386","4215","0","216870912","5976276992"
"08/25/2025 16:14:53.512","4217","0","216743936","5976231936"
"08/25/2025 16:14:57.508","4218","0","216678400","5975891968"
"08/25/2025 16:15:01.221","4218","0","216711168","5977071616"
"08/25/2025 16:15:04.814","4221","0","216625152","5951381504"
"08/25/2025 16:15:08.645","4223","0","216629248","5951295488"
"08/25/2025 16:15:12.593","4223","0","216678400","5951385600"
"08/25/2025 16:15:16.797","4225","0","216633344","5951418368"
"08/25/2025 16:15:21.142","4226","0","216649728","5951483904"
"08/25/2025 16:15:25.775","4223","27.188554162468683728","216489984","5955522560"
"08/25/2025 16:15:30.551","4236","0","216711168","5904076800"
"08/25/2025 16:15:35.651","4238","0","216670208","5904076800"
"08/25/2025 16:15:40.909","4239","0","216633344","5904003072"
"08/25/2025 16:15:46.484","4240","0","216690688","5903667200"
"08/25/2025 16:15:52.277","4242","0","216641536","5902888960"
"08/25/2025 16:15:58.447","4244","0","216596480","5903183872"
"08/25/2025 16:16:04.805","4245","0","216563712","5903060992"
"08/25/2025 16:16:10.734","4246","0","216535040","5902852096"
"08/25/2025 16:16:16.462","4241","3.1964134962007233476","216571904","5907292160"
"08/25/2025 16:16:21.810","4238","0","216555520","5907537920"
"08/25/2025 16:16:26.956","4237","0","216563712","5907660800"
"08/25/2025 16:16:31.768","4236","0","216547328","5908017152"
"08/25/2025 16:16:36.405","4241","0","216395776","5893214208"
"08/25/2025 16:16:40.726","4241","0","216469504","5893058560"
"08/25/2025 16:16:44.911","4242","0","216449024","5892935680"
"08/25/2025 16:16:49.635","4243","0","216432640","5892861952"
"08/25/2025 16:16:54.603","4237","0","216502272","5892587520"
"08/25/2025 16:16:59.622","4241","0","216457216","5891088384"
"08/25/2025 16:17:04.623","4242","0","216477696","5891248128"
"08/25/2025 16:17:09.605","4243","12.041755993081608267","216477696","5891276800"
"08/25/2025 16:17:14.611","4244","0","216432640","5891178496"
"08/25/2025 16:17:19.621","4245","0","216461312","5893459968"
"08/25/2025 16:17:24.607","4246","0","216461312","5893439488"
"08/25/2025 16:17:29.613","4247","0","216420352","5893394432"
"08/25/2025 16:17:34.614","4248","0","216371200","5893513216"
"08/25/2025 16:17:39.611","4249","0","216363008","5893746688"
"08/25/2025 16:17:44.604","4250","0","216248320","5893644288"
"08/25/2025 16:17:49.622","4250","0","216346624","5893877760"
"08/25/2025 16:17:54.612","4247","0","216354816","5894160384"
"08/25/2025 16:17:59.607","4246","0","216375296","5894021120"
"08/25/2025 16:18:04.616","4245","0","216436736","5895548928"
"08/25/2025 16:18:09.620","4241","0","216383488","5895204864"
"08/25/2025 16:18:14.628","4243","0","216346624","5895286784"
"08/25/2025 16:18:19.611","4244","0","216371200","5895176192"
"08/25/2025 16:18:24.610","4245","0","216379392","5895065600"
"08/25/2025 16:18:29.616","4246","0","216383488","5894586368"
"08/25/2025 16:18:34.609","4247","0","216416256","5894303744"
"08/25/2025 16:18:39.614","4248","0","216408064","5894266880"
"08/25/2025 16:18:44.614","4249","0","216395776","5894053888"
"08/25/2025 16:18:49.617","4241","0","216264704","5893898240"
"08/25/2025 16:18:54.606","4244","0","216358912","5884039168"
"08/25/2025 16:18:59.620","4244","0","216354816","5884059648"
"08/25/2025 16:19:04.622","4246","0","216313856","5883973632"
"08/25/2025 16:19:09.617","4247","0","216309760","5883998208"
"08/25/2025 16:19:14.607","4248","0","216281088","5883400192"
"08/25/2025 16:19:19.612","4250","0","216317952","5882765312"
"08/25/2025 16:19:24.616","4250","0","216313856","5882953728"
"08/25/2025 16:19:29.616","4251","0","216313856","5882712064"
"08/25/2025 16:19:34.616","4252","0","216317952","5883912192"
"08/25/2025 16:19:39.617","4253","0","216346624","5884461056"
"08/25/2025 16:19:44.605","4253","0","216317952","5884309504"
"08/25/2025 16:19:49.610","4253","0","216346624","5884002304"
"08/25/2025 16:19:54.611","4253","0","216207360","5884030976"
"08/25/2025 16:19:59.614","4243","0","216330240","5883957248"
"08/25/2025 16:20:04.611","4244","0","216326144","5884190720"
"08/25/2025 16:20:09.615","4245","0","216363008","5884248064"
"08/25/2025 16:20:14.612","4246","0","216326144","5884227584"
"08/25/2025 16:20:19.615","4247","0","216301568","5883961344"
"08/25/2025 16:20:24.628","4248","0","216313856","5883908096"
"08/25/2025 16:20:29.611","4249","0","216326144","5883887616"
"08/25/2025 16:20:34.615","4249","0","216346624","5883949056"
"08/25/2025 16:20:39.614","4250","0","216305664","5884014592"
"08/25/2025 16:20:44.613","4243","0","216309760","5883891712"
"08/25/2025 16:20:49.619","4244","0","216276992","5883887616"
"08/25/2025 16:20:54.610","4245","0","216301568","5883916288"
"08/25/2025 16:20:59.618","4246","0","216182784","5883826176"
"08/25/2025 16:21:04.618","4248","0","216109056","5883785216"
"08/25/2025 16:21:09.605","4249","0","216211456","5883457536"
"08/25/2025 16:21:14.624","4250","0","216190976","5881753600"
"08/25/2025 16:21:19.608","4251","0","216236032","5882191872"
"08/25/2025 16:21:24.604","4252","0","216195072","5882179584"
