"(PDH-CSV 4.0) (India Standard Time)(-330)","\\ASCENDI-8POD398\Network Interface(Intel[R] PRO_1000 MT Desktop Adapter)\Bytes Received/sec"
"08/26/2025 11:01:08.429"," "
"08/26/2025 11:01:14.524","77.90579786733476908"
"08/26/2025 11:01:21.143","48.350502623454310935"
"08/26/2025 11:01:27.672","119.46866820110862761"
"08/26/2025 11:01:33.606","25.67824829891133831"
"08/26/2025 11:01:39.523","25.439011252410022479"
"08/26/2025 11:01:44.850","1675.3081106635847846"
"08/26/2025 11:01:50.148","453.33086653115776699"
"08/26/2025 11:01:54.975","3224.170459295267392"
"08/26/2025 11:01:59.737","12.813562130430090846"
