"(PDH-CSV 4.0) (India Standard Time)(-330)","\\ASCENDI-8POD398\Network Interface(Intel[R] PRO_1000 MT Desktop Adapter)\Packets Sent/sec"
"08/26/2025 11:01:20.241"," "
"08/26/2025 11:01:26.825","0.80355973749471210077"
"08/26/2025 11:01:32.783","0.8009626610030062821"
"08/26/2025 11:01:38.726","0.20023487951837265486"
"08/26/2025 11:01:44.117","1.1955779636091175"
"08/26/2025 11:01:49.456","4.6165935144006811086"
"08/26/2025 11:01:54.296","5.3927862854973414031"
"08/26/2025 11:01:59.119","0.3999161855658291409"
"08/26/2025 11:02:03.466","0"
"08/26/2025 11:02:07.827","0.59501692366968195191"
